CH0,,CH1,,1931 Photopic,,Scotopic,,2005 Photopic,
X,Y,X,Y,X,Y,X,Y,X,Y
82.98419215,0.007422654,7.458673556,0.001427439,10.12671892,0.000456585,381.7091421,0.002606289,383.3710267,0.001255117
99.59980625,0.0094669,24.07428765,0.001534885,21.55799819,0.000232325,391.5485545,0.003549965,388.5940928,0.001448142
116.2154203,0.008906484,40.68990174,0.001575544,32.98963464,0.000394843,396.7610689,0.008126792,393.8171589,0.001255117
132.8310344,0.007811778,57.30551583,0.001616204,44.42091391,0.000170583,401.7111111,0.014815094,399.040225,0.000869068
149.4466485,0.008453514,73.92112992,0.001656864,55.8515681,-0.000730538,407.1122363,0.027448553,404.2632911,0.003667925
166.8756144,0.013751723,90.53674401,0.002031455,67.28347244,-0.000277936,411.6230661,0.044806289,409.8933494,0.007965019
180.506518,0.030982201,107.1523581,0.002472831,78.71632927,0.001206073,415.6590717,0.068958491,414.3401156,0.012396925
188.4681665,0.050301501,123.7679722,0.00217956,89.94487454,0.006516523,419.5763713,0.095499371,422.3066104,0.020847113
194.2126832,0.067201334,140.3835863,0.001819503,101.5840074,0.006301371,422.3066104,0.121244025,427.1339897,0.027141859
199.5955929,0.084098054,156.9992004,0.002127307,113.0220732,0.013425893,425.0368495,0.148846541,432.2779184,0.031152481
204.127124,0.100418331,173.6148145,0.002167967,124.4599603,0.020357026,427.6483826,0.175918239,438.2132208,0.050379874
210.1188151,0.118860416,190.2304286,0.001941482,135.896508,0.025837741,430.0620722,0.20007044,444.8607595,0.058872956
216.5384842,0.139568712,206.8460427,0.00271679,147.3356453,0.034122597,431.961369,0.225903564,451.5082982,0.069489308
222.9221888,0.159078745,223.4616567,0.003358525,158.7776103,0.045469445,434.0189405,0.253152201,458.1558368,0.084352201
226.4826775,0.17842736,240.0772708,0.005135626,170.2206171,0.057944396,435.9182372,0.278277568,464.8033755,0.111954717
231.7694638,0.197214637,256.6928849,0.010051678,181.6633262,0.070097031,437.9758087,0.303402935,471.2135021,0.141680503
234.9964632,0.21650148,273.308499,0.016637384,193.1097054,0.08622381,440.0333802,0.327466667,477.3862166,0.171406289
238.5667605,0.237820577,289.9241131,0.024759173,204.5610672,0.107746142,441.932677,0.355423061,482.6092827,0.201132075
242.0409343,0.258754305,306.5397272,0.034951333,214.974554,0.130731368,443.9902485,0.38444109,487.5157993,0.228380713
244.608802,0.278980364,323.1553413,0.048816734,223.8299312,0.154506445,445.8895452,0.408504822,491.6309423,0.260583648
246.1193123,0.29920258,339.7709554,0.064348821,231.6467514,0.179006085,447.9471167,0.432214675,494.7172996,0.290309434
249.4424351,0.321315456,356.3865695,0.080343217,238.4227287,0.201754792,450.0046882,0.456632285,497.0122832,0.317558071
250.6508434,0.343129298,371.1895711,0.09568461,244.1609676,0.226114427,451.903985,0.480696017,499.5446789,0.352238155
253.8732656,0.365650066,385.8415217,0.114013201,248.8588371,0.249235956,453.9615565,0.50440587,502.4331927,0.382937107
256.6928849,0.395921406,401.7018806,0.130154163,254.0800017,0.276344729,456.1140928,0.527691069,503.0267229,0.409212579
260.0693199,0.42531289,418.3174947,0.145355288,258.2567861,0.297872202,458.9867792,0.556249057,505.2425692,0.437522851
262.533525,0.455592183,435.4366123,0.159082783,262.4377451,0.323920143,461.7170183,0.585178616,506.5879044,0.469194969
265.6552465,0.484006214,447.9882342,0.17311554,267.2990193,0.363223785,463.9328645,0.612692662,508.249789,0.498389937
269.1006487,0.510038679,457.4534453,0.193603899,272.3829726,0.402514164,466.3465541,0.636667925,510.3073605,0.531300629
270.2874783,0.531818651,465.1433163,0.211621594,277.5101139,0.452846043,468.9580872,0.663474214,512.1670886,0.559297466
272.7592225,0.550725191,473.3824637,0.228772414,274.4764807,0.418817689,471.3717768,0.691253669,513.4728551,0.583910552
276.2036439,0.573463186,481.8751235,0.24565414,281.4638996,0.482971892,473.2710736,0.715671279,514.707398,0.609320707
279.8900085,0.597015929,492.332503,0.261486773,284.2622208,0.512265142,475.3286451,0.740796646,516.0369058,0.637605702
283.1268164,0.61773043,503.1074769,0.276446787,288.0952401,0.536655247,477.2279419,0.763090985,517.5088608,0.664801258
285.392582,0.633073794,514.3859544,0.292088106,290.458856,0.564113623,479.2855134,0.785031447,518.6959212,0.687101495
288.4136027,0.64973321,528.2071243,0.309783655,292.295622,0.583735392,481.3430849,0.809449057,519.8829817,0.712946415
291.4346235,0.666800764,540.6688349,0.325309539,295.0208028,0.608850245,483.2423816,0.83315891,521.7822785,0.741807727
294.4556442,0.683460179,552.5515165,0.343484425,297.9587396,0.639282735,485.5769339,0.85987673,523.2067511,0.769390021
298.575218,0.700790145,562.5712353,0.360871127,301.7285852,0.670287007,488.307173,0.886683019,525.1060478,0.800902893
301.7335578,0.718496214,572.3895527,0.37787252,305.2889029,0.699469134,490.918706,0.913223899,527.2427567,0.828416939
307.5467341,0.739325468,582.2078701,0.395202756,308.53609,0.727175586,493.5302391,0.937269937,529.3003282,0.853329979
311.2489654,0.761748497,598.068229,0.409800957,312.2007719,0.756835817,496.8540084,0.961528302,531.2787623,0.876332075
323.0474477,0.784876597,614.6838431,0.419859545,314.8159653,0.7753834,501.8735785,0.986438814,533.6528833,0.901634382
331.5318079,0.805391178,631.2994572,0.429049912,317.9578154,0.801558238,506.8253165,0.996296855,536.5018284,0.926582809
341.513852,0.823252655,648.5444506,0.44017862,322.6597776,0.829111598,511.6526957,0.986565199,539.8255977,0.950204193
348.5822659,0.839950231,663.355844,0.453220856,327.1861294,0.854059509,516.1635256,0.960555136,544.3364276,0.975514542
354.6243074,0.85673948,674.7805772,0.471885164,331.5375092,0.877093336,519.6455696,0.934987421,549.5594937,0.991085192
360.0941858,0.873249054,687.1883409,0.488586313,336.7570368,0.902429378,521.8614158,0.909596646,554.7825598,0.997455003
365.4496317,0.890886293,703.803955,0.497215677,343.0154604,0.927408066,523.9189873,0.886948428,559.7682138,0.992581132
374.5126939,0.907636291,720.4195691,0.497122764,350.3117568,0.950921443,525.9765588,0.861469182,564.4825397,0.978552381
385.4638941,0.924035246,737.0351832,0.48881515,360.2079201,0.976385868,527.954993,0.83758239,569.31218,0.956379371
400.1913703,0.938730854,752.6895634,0.473692993,371.6537843,0.991955043,529.9334271,0.810510692,574.8834505,0.922690147
415.5482257,0.933108304,762.0167009,0.458483429,383.0911357,0.998306008,531.5161744,0.785031447,578.5237693,0.886240671
422.0937707,0.916484543,773.0860308,0.442050632,394.5173251,0.992570162,532.940647,0.761144654,581.8475387,0.854037736
428.3875639,0.896786887,783.1057496,0.424223203,405.4148036,0.976982551,534.681669,0.733011321,586.4375059,0.819357652
436.4436192,0.877404895,792.1001522,0.407070032,415.4136177,0.952841263,536.5809658,0.701870021,590.156962,0.785031447
449.3410539,0.874150723,798.9661085,0.3907539,423.5544165,0.926258616,538.6385373,0.670728721,592.531083,0.75530566
455.2563393,0.891981698,806.5186603,0.375034587,430.2842817,0.899074517,540.3004219,0.642772327,595.3800281,0.725579874
459.1012748,0.910090164,814.0712122,0.357935769,435.9778935,0.875109466,541.7248945,0.618354717,597.2793249,0.695854088
464.4959547,0.931155326,821.6237641,0.341130809,440.6353433,0.854462232,542.911955,0.594998742,599.9858228,0.659758491
468.0270179,0.95192016,829.8629115,0.324948642,445.2888641,0.829560441,544.3364276,0.570581132,603.2146273,0.621539623
473.7416061,0.971918627,837.5527825,0.309272705,450.4608179,0.803380878,545.9191749,0.541916981,605.4304735,0.581551363
480.3742958,0.991059254,846.5471852,0.293855975,456.1508445,0.775533544,547.9767464,0.51112956,608.9125176,0.547225157
496.8640341,0.988694508,856.3655026,0.277280453,461.3218324,0.74830807,549.8760431,0.47998826,610.9700891,0.51997652
507.6390081,0.973188316,866.8228821,0.263097464,465.4541699,0.721705858,551.9336146,0.446015933,613.4233474,0.487773585
520.6965311,0.964241237,882.0441789,0.24949663,469.5879807,0.696699105,553.5954993,0.418767296,615.3226442,0.458047799
536.1373037,0.956828651,895.4373709,0.230967296,474.239979,0.670148672,555.257384,0.39328805,624.4234412,0.340914046
552.7529178,0.954064291,909.5165863,0.213351829,478.8923702,0.644023695,557.3149555,0.365331656,630.5170183,0.278100629
569.3685319,0.960716783,922.5613983,0.196168137,483.0269177,0.619814672,559.2142522,0.336313627,635.2652602,0.213694759
585.984146,0.956220753,934.7106406,0.17816874,487.1592551,0.59321246,561.2718237,0.309772746,638.5890295,0.186269182
596.5577186,0.940346744,944.7303594,0.160206625,491.2933115,0.568471618,563.1711205,0.282877987,641.7432188,0.163292363
606.3073765,0.921670469,954.4324837,0.143564216,496.4638902,0.54080296,565.5848101,0.254479245,645.4739803,0.137168553
613.1733327,0.905450806,963.9354198,0.126783405,500.4276894,0.519253503,568.4574965,0.224063396,649.2725738,0.112898393
622.1202018,0.890170671,975.695822,0.110984453,504.7347041,0.494246283,570.9265823,0.19794717,654.0208158,0.086185935
630.6128616,0.873911036,987.8806057,0.094597947,508.8690061,0.46977135,573.6568214,0.170875472,659.2438819,0.064856718
640.3625194,0.856809007,1000.451409,0.078858263,513.5188925,0.440934092,576.6244726,0.145927044,664.466948,0.046519383
